index,mean_intensity,edge_density,texture_variance,glcm_contrast_d1,glcm_homogeneity_d1,glcm_energy_d1,glcm_correlation_d1,glcm_contrast_d2,glcm_homogeneity_d2,glcm_energy_d2,glcm_correlation_d2,glcm_contrast_d4,glcm_homogeneity_d4,glcm_energy_d4,glcm_correlation_d4,glcm_contrast_d8,glcm_homogeneity_d8,glcm_energy_d8,glcm_correlation_d8,phase_fraction,fft_energy_ratio,run_length_mean,E_x
9180,0.484024,0.052383,16239.6536,129.624816,0.967349,0.684765,0.934617,258.378091,0.934917,0.663038,0.869677,508.306641,0.871963,0.623521,0.743633,964.868101,0.75696,0.562469,0.513434,0.484024,0.946211,27.4439,2625.12
9181,0.445618,0.026443,16063.9426,57.273254,0.985573,0.701191,0.970796,113.776698,0.971341,0.691395,0.941986,221.853516,0.944118,0.673068,0.886896,407.602697,0.897329,0.642989,0.792287,0.445618,0.970378,54.7045,2101.6515
9182,0.416382,0.032593,15801.5954,70.345175,0.982281,0.70442,0.96356,140.816975,0.96453,0.692119,0.92711,281.654297,0.929054,0.668275,0.854428,552.264144,0.860891,0.62552,0.715417,0.416382,0.963586,46.3808,1993.9967
9183,0.444397,0.052353,16055.2124,88.281066,0.977763,0.696083,0.954949,176.341674,0.955581,0.681112,0.909994,351.360352,0.911496,0.652576,0.820599,686.735525,0.827019,0.603133,0.649138,0.444397,0.938126,38.37,2027.5345
9184,0.42186,0.026917,15859.2138,64.812408,0.983674,0.704573,0.966504,128.670214,0.967589,0.693832,0.933463,253.107422,0.936245,0.673533,0.868959,487.247763,0.877268,0.63779,0.747157,0.42186,0.967898,49.5734,1951.3148
9185,0.080063,0.037659,4789.2736,156.619853,0.960549,0.902366,0.733072,285.784603,0.928014,0.885899,0.514678,439.769531,0.889227,0.867277,0.257899,563.51698,0.858056,0.853304,0.053791,0.080063,0.705656,23.1412,1269.5401
9186,0.108246,0.040649,6276.7778,107.615349,0.972893,0.883268,0.859846,212.232606,0.946541,0.869216,0.724155,401.686523,0.89882,0.845304,0.479653,659.666205,0.833837,0.816362,0.147546,0.108246,0.792719,32.3475,1184.4204
9187,0.199799,0.019287,10396.1391,31.43341,0.992082,0.820028,0.975227,62.870171,0.984164,0.815327,0.950445,124.954102,0.968525,0.806289,0.901434,249.500362,0.937154,0.788898,0.802772,0.199799,0.951094,84.7814,1318.6277
9188,0.349319,0.014771,14779.8817,55.935662,0.98591,0.729333,0.96897,111.335138,0.971956,0.720406,0.938179,220.623047,0.944427,0.703226,0.877286,438.047867,0.88966,0.671061,0.755549,0.349319,0.977585,55.7279,3463.6676
9189,0.126221,0.024643,7171.5446,41.586949,0.989525,0.876535,0.952657,82.829924,0.979136,0.870354,0.906016,164.452148,0.958576,0.858329,0.814657,316.267184,0.920336,0.836909,0.647801,0.126221,0.898438,69.7191,1192.9409
9190,0.391525,0.116486,15491.116,313.239706,0.921098,0.671386,0.834389,617.531573,0.84445,0.626072,0.673581,1151.349609,0.709988,0.56316,0.391745,1756.00493,0.557681,0.525057,0.073696,0.391525,0.839404,12.1183,2073.8775
