index,mean_intensity,edge_density,texture_variance,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,E_x
116,0.123276,0.0168,7027.8269,40.918153,0.989693,0.87979,0.952219,1203.5268
117,0.149185,0.061111,8253.5558,176.258134,0.955602,0.83917,0.824719,1322.3387
118,0.448792,0.028976,16085.7343,38.06057,0.990413,0.704127,0.980616,1881.378
119,0.151581,0.012955,8362.4795,18.969485,0.995222,0.859814,0.981328,1210.6445
120,0.294113,0.027573,13499.8798,66.393199,0.983276,0.753858,0.959716,1559.7007
121,0.199738,0.023972,10393.756,75.330744,0.981025,0.813281,0.94068,1541.3438
122,0.240082,0.072113,11863.325,109.682537,0.972372,0.779752,0.924312,1327.4479
123,0.047546,0.012497,2944.7045,45.417325,0.98856,0.9479,0.873101,1134.8385
124,0.149597,0.036346,8272.341,125.125643,0.968482,0.846177,0.875615,1327.7868
125,0.049255,0.028488,3045.0739,120.018474,0.969769,0.936409,0.677669,1206.1478
126,0.366089,0.019119,15090.2092,53.990074,0.9864,0.723091,0.970666,2505.5989
127,0.285919,0.035004,13276.1157,123.544853,0.96888,0.749193,0.92381,2424.1853
128,0.281403,0.008057,13149.0415,22.617463,0.994303,0.767425,0.985943,1655.8318
129,0.340668,0.016891,14605.475,49.430101,0.987549,0.733691,0.972287,2331.5437
130,0.091736,0.049744,5417.9074,198.753998,0.949936,0.886223,0.700213,1287.3335
131,0.364212,0.060837,15057.2949,47.91011,0.987932,0.724655,0.973926,1636.7818
132,0.476044,0.108078,16218.9319,452.106066,0.886119,0.632564,0.771692,4134.0121
133,0.072769,0.048386,4387.4847,154.735064,0.961024,0.909558,0.711726,1136.2821
134,0.477081,0.015686,16222.0945,45.721324,0.988483,0.699756,0.976913,4118.1055
135,0.095566,0.042618,5620.3042,57.212454,0.985589,0.901556,0.916672,1121.2055
136,0.147766,0.028717,8188.6821,70.649173,0.982204,0.854962,0.92924,1244.889
137,0.129868,0.02243,7347.9532,64.751608,0.98369,0.870631,0.927798,1259.1021
138,0.172104,0.020523,9265.0309,37.695772,0.990505,0.839488,0.966775,1269.8392
139,0.034805,0.007828,2184.4426,13.740717,0.996539,0.963903,0.948667,1043.7626
140,0.328766,0.016083,14349.6437,41.890947,0.989448,0.740209,0.976102,2725.1371
141,0.249725,0.026321,12183.2528,52.348483,0.986814,0.782221,0.964839,1366.5309
142,0.151077,0.022766,8339.6467,48.457307,0.987794,0.855337,0.952372,1231.5235
143,0.153152,0.017059,8433.5336,49.004504,0.987656,0.854166,0.952182,1290.0248
144,0.093857,0.033356,5530.2274,42.255744,0.989356,0.905115,0.93746,1110.6355
145,0.156677,0.107498,8591.7199,303.937362,0.923441,0.815794,0.709676,1249.4978
146,0.021729,0.007462,1382.1966,11.065533,0.997213,0.977008,0.93467,1024.8194
147,0.350464,0.017975,14802.2224,59.58364,0.984992,0.727805,0.967043,2022.8796
148,0.041916,0.01091,2611.3358,22.739062,0.994272,0.956074,0.928587,1053.3042
149,0.097488,0.029282,5721.1866,48.03171,0.987901,0.901208,0.931189,1122.0351
150,0.487946,0.009842,16246.8012,17.753493,0.995528,0.704152,0.991049,2045.9868
151,0.384552,0.055573,15389.5812,187.202068,0.952846,0.693869,0.90041,2305.2385
152,0.151581,0.048279,8362.4795,102.933778,0.974072,0.847294,0.899021,1197.9961
153,0.199722,0.01561,10393.1601,42.377344,0.989326,0.81877,0.966535,1409.2346
154,0.449905,0.01004,16093.0718,14.409513,0.99637,0.708198,0.992663,1871.0582
155,0.336136,0.026505,14510.2341,72.71636,0.981684,0.731872,0.958956,1746.4289
156,0.406021,0.070282,15681.9472,107.43295,0.972939,0.700943,0.943882,1683.9742
157,0.357025,0.014359,14927.0214,35.993382,0.990934,0.729847,0.980214,2249.451
158,0.219437,0.079834,11137.7554,151.877482,0.961744,0.787941,0.888225,1347.2713
159,0.237747,0.01535,11784.0558,31.129412,0.992159,0.794069,0.978314,1381.5049
160,0.219452,0.016708,11138.3121,48.274908,0.98784,0.802767,0.964596,1452.8588
161,0.138458,0.032654,7756.6739,116.735294,0.970596,0.855625,0.877123,1345.7544
162,0.148407,0.012695,8218.0123,29.305423,0.992618,0.859703,0.970883,1248.7856
163,0.048264,0.027405,2986.87,79.40432,0.979999,0.94267,0.781991,1085.6522
164,0.035522,0.009857,2227.7965,24.076654,0.993935,0.962075,0.911289,1050.5629
165,0.030991,0.016586,1952.7127,64.44761,0.983766,0.961113,0.730665,1080.2687
166,0.140976,0.016357,7874.6402,39.884559,0.989954,0.864324,0.958645,1388.8361
167,0.259491,0.083298,12494.9052,144.216728,0.963673,0.761948,0.905479,1391.1459
168,0.295486,0.050644,13536.5279,122.511259,0.969141,0.744075,0.925878,1573.8664
169,0.236526,0.114319,11742.3256,315.610892,0.920501,0.752005,0.779905,1512.707
170,0.126999,0.018936,7209.3335,42.559743,0.98928,0.875733,0.951803,1209.3682
171,0.230164,0.045578,11521.6694,66.393199,0.983276,0.793081,0.952822,1343.5568
172,0.416077,0.013397,15798.2707,36.297381,0.990857,0.71036,0.981195,3315.1579
173,0.246536,0.022827,12078.7923,29.974219,0.99245,0.788587,0.979624,1367.9802
174,0.191284,0.015503,10059.0126,41.039752,0.989663,0.825614,0.966442,1374.1139
175,0.041733,0.013489,2600.4253,28.819026,0.992741,0.955503,0.909015,1055.9671
176,0.299698,0.0242,13647.3858,58.002849,0.98539,0.75257,0.965142,1697.1242
177,0.496552,0.024338,16255.4767,48.518107,0.987779,0.698527,0.975551,2331.8469
178,0.411865,0.021927,15751.1529,55.206066,0.986094,0.708043,0.971319,2191.6285
179,0.163971,0.087021,8913.918,334.215579,0.915815,0.805295,0.693108,1561.0563
180,0.091064,0.03006,5382.231,46.754917,0.988223,0.907232,0.92873,1124.5692
181,0.019623,0.007767,1250.9346,15.199908,0.996171,0.978551,0.900846,1021.5518
182,0.229095,0.070709,11484.1127,182.155699,0.954117,0.777117,0.869729,1457.2644
183,0.345505,0.016159,14704.1826,28.15023,0.992909,0.735539,0.984306,1611.1784
184,0.41153,0.026184,15747.2979,93.084237,0.976553,0.702091,0.95156,2692.8993
185,0.424377,0.018295,15884.3869,39.76296,0.989984,0.708019,0.979504,2771.653
186,0.34697,0.117401,14733.4749,480.742693,0.878906,0.663287,0.732969,2766.414
187,0.032928,0.018494,2070.668,68.642785,0.98271,0.958781,0.728683,1084.0715
188,0.484604,0.028275,16240.8364,57.273254,0.985573,0.69729,0.971115,2179.9604
189,0.366791,0.058365,15102.401,101.048989,0.974547,0.714589,0.945195,1570.3656
190,0.419891,0.133713,15838.9589,497.70579,0.874633,0.635091,0.742501,2819.5181
191,0.318314,0.021347,14109.7781,35.263787,0.991117,0.746643,0.979515,1605.5448
192,0.225388,0.01683,11352.5857,43.836535,0.988958,0.799442,0.968441,1502.5012
193,0.345596,0.021729,14706.0216,61.954825,0.984394,0.730061,0.965438,2031.402
194,0.308029,0.024567,13859.8968,65.298805,0.983552,0.746771,0.961394,1610.8691
195,0.199249,0.032501,10374.6735,112.540119,0.971652,0.807931,0.911307,1731.6667
196,0.483353,0.033112,16238.2294,42.377344,0.989326,0.700034,0.97862,2236.0859
197,0.152588,0.045792,8408.0463,115.397702,0.970933,0.844475,0.887583,1266.9794
198,0.479904,0.030502,16229.9902,83.295496,0.979019,0.693013,0.957959,2491.9615
199,0.244171,0.041367,12000.4675,75.513143,0.980979,0.782608,0.94842,1417.8139
200,0.439194,0.02655,16015.8264,28.15023,0.992909,0.707298,0.985604,1884.1602
201,0.080811,0.009094,4830.0702,20.307077,0.994885,0.919684,0.965683,1110.4986
202,0.152695,0.032227,8412.8714,88.463465,0.977717,0.848372,0.913768,1350.6532
203,0.43576,0.108597,15987.9104,285.393474,0.928112,0.66455,0.853743,2169.8207
204,0.243835,0.081177,11989.2915,85.301884,0.978513,0.781211,0.941705,1387.099
205,0.049271,0.016708,3045.9683,18.969485,0.995222,0.949538,0.948949,1058.4582
206,0.341751,0.039734,14627.8475,147.621507,0.962816,0.717072,0.917347,2332.637
207,0.424377,0.012283,15884.3869,33.318199,0.991608,0.708954,0.982835,3953.5551
208,0.420517,0.02153,15845.4512,54.719669,0.986217,0.706338,0.971719,2066.8602
209,0.342255,0.013458,14638.194,18.604688,0.995314,0.738332,0.989588,1585.4791
210,0.234543,0.030746,11674.1008,73.689154,0.981439,0.78907,0.948305,1564.7429
211,0.043625,0.023666,2712.9567,98.009007,0.975313,0.944735,0.703886,1147.1745
212,0.049362,0.028122,3051.3344,49.916498,0.987427,0.945269,0.866275,1056.4928
213,0.461578,0.051575,16160.2587,104.21057,0.97375,0.690986,0.947168,2096.1143
214,0.302139,0.02124,13710.5951,26.691039,0.993277,0.756023,0.984055,1486.0847
215,0.231613,0.072815,11572.402,101.109789,0.974532,0.787138,0.928358,1409.0507
216,0.345306,0.013611,14700.1945,34.473392,0.991317,0.734182,0.980799,1706.1517
217,0.180054,0.067017,9599.925,146.648713,0.963061,0.81763,0.875131,1311.655
218,0.313583,0.051712,13996.5559,113.087316,0.971515,0.736456,0.933731,1616.6083
219,0.198074,0.015228,10328.6293,35.263787,0.991117,0.820197,0.972102,1376.9127
220,0.13768,0.019974,7720.0448,45.721324,0.988483,0.866349,0.951609,1240.8877
221,0.261703,0.021439,12563.7907,23.286259,0.994134,0.779899,0.984797,1397.2212
